rank,player_id,name,position,source,vorp,draft_round,rationale,log_ref
108,8408,Jordan Mason,RB,vorp,-3.8859999281167985,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
109,12481,Cam Skattebo,RB,vorp,-4.690000119805337,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
110,7594,Chuba Hubbard,RB,vorp,-6.231000002995134,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
111,13346,Denzel Boston,WR,rookie,,2,R1 to CLE alongside Concepcion (consensus #8 rookie overall) — two round-1 rookie WRs sharing one offense tempers each other's target share relative to a clean WR1 situation; placed just behind Concepcion per consensus.,2026-08-24-bigboard-initial-build-rookie-placement
112,10213,Tre Tucker,WR,vorp,-7.440800013542175,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
113,11586,Blake Corum,RB,vorp,-9.044999955073,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
114,12493,Oronde Gadsden II,TE,vorp,-10.131999867260458,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
115,8676,Rashid Shaheed,WR,vorp,-10.351800004020333,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
116,4199,Aaron Jones,RB,vorp,-10.719999990016223,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
117,5012,Mark Andrews,TE,vorp,-11.084000063836575,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
118,2449,Stefon Diggs,WR,vorp,27.065200267881153,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #58 -> down, near DraftSharks 2026-08-28 ADP (WR44/overall 124) -- signed WAS on a 1yr/$12M deal as the slot answer for Jayden Daniels, but still working back in after a slow camp debut (Aug 7) from a lost 2025 season; vorp=38.1 assumes a 2025 role/health level not yet re-established.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
119,6865,Colby Parkinson,TE,vorp,-11.22000012665987,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
120,13276,Omar Cooper,WR,rookie,,1,"R1 to NYJ (consensus #10 rookie overall) — 'ceiling may not be as high as others... physical and accountable' framing (modest 53/623/4 projection) argues for a real-but-unspectacular floor play; placed at the lower end of the round-1 WR cluster, still ahead of the WR48 landmark.",2026-08-24-bigboard-initial-build-rookie-placement
121,11647,Kimani Vidal,RB,vorp,-11.925999958068132,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
122,4943,Sam Darnold,QB,vorp,-12.200000298023225,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
123,11597,Theo Johnson,TE,vorp,-13.260000005066395,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
124,6806,J.K. Dobbins,RB,vorp,-13.265999928116798,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
125,1339,Zach Ertz,TE,vorp,-14.212000029385091,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
126,10236,Dalton Kincaid,TE,vorp,-14.4159999614954,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
127,12508,Jaxson Dart,QB,vorp,-14.935999429225923,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
128,10229,Rashee Rice,WR,vorp,-15.676800178587436,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
129,8210,Chig Okonkwo,TE,vorp,-15.84399997264147,,"[ROLE-CHANGE REVIEW 2026-08-28: reconsidered, no change -- signed WAS as TE1 ahead of Sinnott/Bates, stepping into Zach Ertz's vacated receiving-TE role with a bigger target share than Tennessee (wiki/players/8210-chig-okonkwo.md); no DraftSharks ADP entry to calibrate a specific move, and current rank=133 already sits in line with comparable mid-tier TEs -- keeping as-is.] [VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
130,9508,Tyjae Spears,RB,vorp,-16.080000189691784,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
131,8111,Cade Otton,TE,vorp,-17.067999960482123,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
132,6804,Jordan Love,QB,vorp,-17.111999997496607,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
133,8136,Rachaad White,RB,vorp,4.891000052914023,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #99 -> down, near DraftSharks 2026-08-28 ADP (overall 139) -- signed WAS as the No. 2 RB/passing-down back behind Jacory Croskey-Merritt in a crowded backfield (wiki/players/8136-rachaad-white.md), a real step down from his TB lead-back usage (vorp=7.3).] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
134,6130,Devin Singletary,RB,vorp,-18.023000148758292,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
135,11620,Rome Odunze,WR,vorp,-18.516800104528663,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
136,3257,Jacoby Brissett,QB,vorp,-18.592000010609627,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
137,9480,Brenton Strange,TE,vorp,-19.92399999290705,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
138,8121,Romeo Doubs,WR,vorp,-4.8138000378757715,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #114 -> down, near DraftSharks 2026-08-28 ADP (overall 143) -- signed NE for a lead role, but the Patriots' subsequent A.J. Brown trade capped him to a WR2 job (wiki/players/8121-romeo-doubs.md); a clean example of a vacated-opportunity read changing after the fact.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
139,96,Aaron Rodgers,QB,vorp,-20.33600006401539,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
140,9484,Tucker Kraft,TE,vorp,-20.46800004154444,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
141,9228,Bryce Young,QB,vorp,-21.151999855041506,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
142,4035,Alvin Kamara,RB,vorp,-22.110000079870225,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
143,7600,Pat Freiermuth,TE,vorp,-22.916000047624113,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
144,5844,T.J. Hockenson,TE,vorp,-23.460000096261503,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
145,11631,Brian Thomas Jr.,WR,vorp,-23.69980003364384,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
146,6039,Ty Johnson,RB,vorp,-23.718000273555518,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
147,9500,Josh Downs,WR,vorp,-23.98380020715296,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
148,5848,Marquise Brown,WR,vorp,-24.480800182819365,,"[ROLE-CHANGE REVIEW 2026-08-28: reconsidered, no change -- signed PHI on a 1yr/$6.5M deal but not guaranteed a fantasy-relevant role, competing with Dontayvion Wicks for a No. 3 job behind DeVonta Smith (wiki/players/5848-marquise-brown.md); no ADP entry and no clear win to justify a move off rank=145.] [VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
149,13414,Kaelon Black,RB,rookie,,3,"R3 RB (SF) — RB is this evaluation framework's most forgiving position (day-2/3 capital 'comparable to R1 at the top-36 tier' per wiki/team/rookie-evaluation.md), and he's a surprisingly strong consensus #17 rookie overall for a day-3 pick; placed near the RB36-48 band rather than left at replacement level.",2026-08-24-bigboard-initial-build-rookie-placement
150,9756,Jordan Addison,WR,vorp,-26.32680007278919,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
151,8126,Wan'Dale Robinson,WR,vorp,32.46120027422905,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #49 -> down, near DraftSharks 2026-08-28 ADP (WR48/overall 156) -- signed TEN as Cam Ward's slot receiver with real OC continuity (reunited with Brian Daboll), but that's a slot role in a run-first-leaning offense, not the volume his vorp=45.7 (2025 NYG breakout line) implies.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
152,10859,Sam LaPorta,TE,vorp,-27.472000044584277,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
153,13274,Germie Bernard,WR,rookie,,2,"R2 WR (SF, Stribling's teammate) but absent from the consensus rookie top-20 unlike Stribling/Boston — no standout situational report found; placed as a marginal WR depth flier just behind Black, not meaningfully elevated above his round-2 baseline.",2026-08-24-bigboard-initial-build-rookie-placement
154,9758,C.J. Stroud,QB,vorp,-27.751999869942665,,"reconsidered 2026-08-28 (QB VORP reliability review): no change -- offensive line reportedly healthier with new starters, but top WR Jayden Higgins (knee) and RB depth (Jordan, Brooks) are banged up; roughly a wash, current rank stands. [VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
155,8122,Bam Knight,RB,vorp,-28.006000307500365,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
156,8167,Christian Watson,WR,vorp,-28.24380015425384,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
157,5906,Dawson Knox,TE,vorp,-29.648000117540363,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
158,9506,Sean Tucker,RB,vorp,-29.6810003823787,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
159,4066,Evan Engram,TE,vorp,-30.260000065863135,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
160,12490,Bhayshul Tuten,RB,vorp,-30.88700035043061,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
161,12540,Chimere Dike,WR,vorp,-31.2968003372848,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
162,12519,Luther Burden III,WR,vorp,-31.438800074905156,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
163,11628,Marvin Harrison Jr.,WR,vorp,-31.509800160601735,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
164,12469,Dylan Sampson,RB,vorp,-31.55700029052794,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
165,4988,Nick Chubb,RB,vorp,-31.75800016373396,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
166,12522,Cam Ward,QB,vorp,-34.10399994552136,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
167,6783,Jerry Jeudy,WR,vorp,-35.840800161659715,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
168,8698,Jake Tonges,TE,vorp,-36.72000024318695,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
169,13269,Fernando Mendoza,QB,rookie,,1,"R1 QB (LV) — consensus top rookie QB (#12 overall, 'no quarterback cracks the top 10') and round-1 QB carries the single strongest positional hit-rate signal in the whole framework (84% of fantasy-relevant rookie QBs are R1), but this league's single-QB/no-superflex format explicitly deprioritizes QB investment per wiki/team/rookie-evaluation.md — placed as a late speculative stash, not chased up the board.",2026-08-24-bigboard-initial-build-rookie-placement
170,4147,Samaje Perine,RB,vorp,-37.38600026756525,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
171,1373,Geno Smith,QB,vorp,-37.60799992382527,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
172,10219,Chris Rodriguez Jr.,RB,vorp,-29.279000206664207,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #159 -> near DraftSharks 2026-08-28 ADP (overall 180) -- signed JAX as a co-starter with Bhayshul Tuten, genuinely stepping into part of Travis Etienne's vacated early-down role (wiki/players/10219-chris-rodriguez.md); a mild reprice, not a crash, since the opportunity is real even if split with Tuten.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
173,12502,Gunnar Helm,TE,vorp,-37.8080001783371,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
174,4039,Cooper Kupp,WR,vorp,-38.25480017647147,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
175,9511,Keaton Mitchell,RB,vorp,-53.80100033245981,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #214 -> up, behind Cooper Kupp -- signed LAC into a tight RB2 committee with Kimani Vidal behind starter Omarion Hampton (official depth chart lists them 'Mitchell OR Vidal'); DraftSharks 2026-08-28 ADP (overall 175) is more bullish than the board's vorp-only rank=214, so nudged up though the exact split is still unresolved per wiki/players/9511-keaton-mitchell.md.] [RESOLVED 2026-08-29 (shrinkage review pass): named board-rank anchor in this rationale had drifted after the vorp shrinkage resort (the anchor player moved, this pinned row did not) -- re-anchored to sit right after that named player again. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
176,13281,Jordyn Tyson,WR,rookie,,1,"R1 (pick 8, NO) — elite pre-injury college profile and the single best per-game production projection among rookie WRs (CBS: 61/869/4), but a late-2025 hamstring injury tempers consensus rank (#6) below Tate/Lemon/Stribling; placed accordingly, still solidly inside the WR24-36 band. [INJURY REVIEW 2026-08-27: moved #96 -> #177 — hamstring injury from an 2026-08 joint practice expected to cost roughly two months, likely opening the season on IR; too large a games-missed hit for a rookie WR's speculative upside to justify the original rookie-round insertion slot.]",2026-08-27-bigboard-injury-status-review
177,11610,Malik Washington,WR,vorp,-38.680800352096554,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
178,12499,Elic Ayomanor,WR,vorp,-39.5328002589941,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
179,12498,Mason Taylor,TE,vorp,-39.71200016617775,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
